SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
FADER,C0-56-27-18-69-64,802.11n,-44,90,90.0,2.437,6,208,15,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,3/14/2019 9:12:18 PM,3/14/2019 9:12:18 PM,1,3/14/2019 9:12:15 PM,90,90
FADER-guest,C0-56-27-18-69-66,802.11n,-44,90,90.0,2.437,6,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,No,3/14/2019 9:12:18 PM,3/14/2019 9:12:18 PM,1,3/14/2019 9:12:15 PM,90,90
FADER,C0-56-27-18-69-65,802.11n,-47,87,87.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,3/14/2019 9:12:18 PM,3/14/2019 9:12:18 PM,1,3/14/2019 9:12:15 PM,87,87
WLANMTSU,D8-84-66-13-10-00,802.11ac,-50,85,85.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:12:18 PM,3/14/2019 9:12:18 PM,1,3/14/2019 9:12:18 PM,85,85
WLANMTSU,D8-84-66-12-51-60,802.11ac,-64,68,68.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,3/14/2019 9:12:18 PM,3/14/2019 9:12:18 PM,1,3/14/2019 9:12:15 PM,68,68
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-75,30,30.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,3/14/2019 9:12:18 PM,3/14/2019 9:12:18 PM,1,3/14/2019 9:12:15 PM,30,30
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-77,26,26.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,3/14/2019 9:12:18 PM,3/14/2019 9:12:18 PM,1,3/14/2019 9:12:15 PM,26,26
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-78,24,24.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:12:18 PM,3/14/2019 9:12:18 PM,1,3/14/2019 9:12:15 PM,24,24
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-79,22,22.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:12:18 PM,3/14/2019 9:12:18 PM,1,3/14/2019 9:12:15 PM,22,22
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-80,20,20.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:12:18 PM,3/14/2019 9:12:18 PM,1,3/14/2019 9:12:15 PM,20,20
WLANMTSU,D8-84-66-13-0F-30,802.11ac,-85,10,10.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:12:18 PM,3/14/2019 9:12:18 PM,1,3/14/2019 9:12:15 PM,10,10
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-86,8,8.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:12:18 PM,3/14/2019 9:12:18 PM,1,3/14/2019 9:12:15 PM,8,8
WLANMTSU,D8-84-66-13-15-A0,802.11ac,-87,6,6.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,3/14/2019 9:12:18 PM,3/14/2019 9:12:18 PM,1,3/14/2019 9:12:15 PM,6,6
